 -6.656e-3  3.686e+0  0.000e+0
 -6.656e-3  3.686e+0  0.000e+0
 -6.656e-3  3.686e+0  0.000e+0
 -6.656e-3  3.686e+0  0.000e+0
 -6.656e-3  3.686e+0  0.000e+0
 -6.656e-3  3.686e+0  0.000e+0
 -7.770e-3  3.734e+0  1.185e+1
 -8.088e-3  3.717e+0  1.717e+1
 -8.441e-3  3.715e+0  1.948e+1
 -9.061e-3  3.741e+0  2.648e+1
 -9.609e-3  3.768e+0  3.411e+1
 -1.153e-2  4.109e+0  1.732e+1
 -8.294e-3  3.925e+0  1.315e+0
 -1.026e-2  4.105e+0  1.636e+0
 -1.151e-2  4.182e+0  3.113e+1
 -1.704e-2  4.830e+0  1.627e+1
 -1.741e-2  5.541e+0 -5.842e+1
 -7.752e-3  4.624e+0 -4.201e+0
  .10998E-05 -.26101E-07  .10896E-08 -.47387E-11
  .20208E-04  .96483E-05  .83009E-07 -.32217E-09
  .13590E-03  .73453E-03  .28281E-05 -.18272E-07
 -.16598E-02  .20933E-02 -.13977E-05 -.18703E-07
  .46180E+00  .24471E-03 -.27839E-05  .10379E-07
  .42362E-01  .86425E-02 -.75519E-04  .24056E-06
  .19960E+00  .37800E-02 -.14910E-04  .00000E+00
  .30140E+00  .26390E-02 -.11160E-04  .00000E+00
  .39080E+00  .12720E-02 -.55640E-05  .00000E+00
  .31050E+00  .26030E-02 -.11390E-04  .00000E+00
  .20370E+00  .42470E-02 -.18100E-04  .00000E+00
  .23070E+00  .38300E-02 -.16160E-04  .00000E+00
  .56310E+00 -.14340E-02  .62980E-05  .00000E+00
  .52070E+00 -.97780E-03  .37250E-05  .00000E+00
  .32540E+00  .34340E-02 -.30810E-04  .91430E-07
  .10280E+00  .50190E-02 -.20240E-04  .00000E+00
  .39640E+00 -.31550E-02  .64170E-04 -.29790E-06
  .80790E+00 -.70040E-02  .52090E-04 -.14250E-06
  .22110E+01 -.10398E-02  .65199E-04 -.34498E-06
  .32201E+01  .94227E-03  .80947E-04 -.47428E-06
  .41610E+01  .74396E-03  .82690E-04 -.45251E-06
  .51379E+01  .51545E-02  .11881E-04 -.15556E-06
  .22151E+01 -.77982E-03  .63750E-04 -.34466E-06
  .31727E+01  .15597E-02  .82021E-04 -.49665E-06
  .40672E+01  .25800E-02  .71550E-04 -.43051E-06
  .49882E+01  .86489E-02 -.18318E-04 -.59275E-07
  .22376E+01  .10293E-02  .50842E-04 -.30135E-06
  .31549E+01  .47115E-02  .70684E-04 -.47622E-06
  .39917E+01  .82830E-02  .53927E-04 -.41778E-06
  .48496E+01  .15998E-01 -.39320E-04 -.43862E-07
  .23012E+01  .33854E-02  .23528E-04 -.20068E-06
  .31730E+01  .93439E-02  .36367E-04 -.38390E-06
  .39298E+01  .16424E-01  .10502E-04 -.35086E-06
  .47226E+01  .25872E-01 -.77542E-04 -.21999E-07
  .27975E+01  .29741E-02 -.32344E-04  .11636E-06
  .43532E+01  .11234E-01 -.12081E-03  .43435E-06
  .56835E+01  .24681E-01 -.26480E-03  .95314E-06
  .68271E+01  .42788E-01 -.45615E-03  .16368E-05
  .19655E+01  .20094E-01 -.17067E-03  .50806E-06
  .28803E+01  .36091E-01 -.28365E-03  .79656E-06
  .34613E+01  .58525E-01 -.46455E-03  .13444E-05
  .39568E+01  .81480E-01 -.64777E-03  .19022E-05
  .12495E+00 -.43582E-03  .14092E-04 -.69565E-07
  .12363E+00 -.44419E-03  .14038E-04 -.68851E-07
  .12117E+00 -.48474E-03  .12495E-04 -.62411E-07
  .11581E+00 -.55031E-03  .98776E-05 -.50193E-07
 -.15968E-03  .10115E-04 -.12472E-06  .48667E-09 
  .13830E+00 -.18921E-02  .12030E-04 -.31698E-07 
    0.7955e+0    2.5240e-3   -1.0220e-5    0.0000e+0
    0.8601e+0    1.5990e-3   -6.4650e-6    0.0000e+0
    0.8915e+0    1.0600e-3   -4.1710e-6    0.0000e+0
    0.8765e+0    1.1980e-3   -4.4850e-6    0.0000e+0
    0.8815e+0    9.8580e-4   -3.1160e-6    0.0000e+0
    0.9167e+0    5.4990e-4   -1.5070e-6    0.0000e+0
    0.9092e+0    9.2950e-4   -3.8770e-6    0.0000e+0
    0.8454e+0    1.4290e-3   -5.8590e-6    0.0000e+0
    0.7678e+0    2.5710e-3   -1.0410e-5    0.0000e+0
    0.7290e+0    2.1320e-3   -5.5840e-6    0.0000e+0
    0.7024e+0    4.5810e-3   -3.0540e-5    6.6840e-8
    0.2292e+0    1.7240e-2   -1.5730e-4    4.9950e-7
